Bob John,1234522222,bjohn@yahoo.com
Emily Carter,701882341,emily.carter@mail.com
Ravi Narayanan,702119874,ravi.narayanan@workmail.com
Kenji Tanaka,705993421,kenji.tanaka@office.com
Chloe Anderson,706114589,chloe.anderson@mailbox.com
Diego Alvarez,707225774,diego.alvarez@domain.org
Ananya Sharma,708336882,ananya.sharma@corp.com
Ethan Brooks,709447993,ethan.brooks@service.net
Helena Petrova,710558104,helena.petrova@mailservice.com
Lucas Bennett,703441298,lucas.bennett@company.org
Sofia Martinez,704772663,sofia.martinez@mail.net
O,9876543210,o@gmail.com
